timestamp,source_ip,destination_ip,port,protocol,event_type,description
2026-09-25T11:00:01Z,192.168.1.99,10.0.0.5,443,HTTPS,Connection_Attempt,Standard connection opened
2026-09-25T11:05:15Z,192.168.1.99,10.0.0.5,22,SSH,Failed_Login,Invalid user 'guest' from 192.168.1.99
2026-09-25T11:45:17Z,192.168.1.99,10.0.0.5,22,SSH,Failed_Login,Invalid user 'guest' from 192.168.1.99
2026-09-25T12:15:19Z,192.168.1.99,10.0.0.5,80,HTTP,Error,404 Not Found on /images/logo.png
2026-09-25T12:20:21Z,192.168.1.99,10.0.0.5,443,HTTPS,Connection_Closed,Connection closed normally
2026-09-25T12:25:01Z,192.168.1.99,10.0.0.5,22,SSH,Failed_Login,Invalid user 'admin'
2026-09-25T12:25:02Z,192.168.1.99,10.0.0.5,22,SSH,Failed_Login,Invalid user 'root'
2026-09-25T12:25:03Z,192.168.1.99,10.0.0.5,22,SSH,Failed_Login,Invalid user 'sysadmin'
2026-09-25T12:25:04Z,192.168.1.99,10.0.0.5,22,SSH,Failed_Login,Invalid user 'oracle'
2026-09-25T12:25:05Z,192.168.1.99,10.0.0.5,22,SSH,Failed_Login,Invalid user 'test'
